aspect,location
WKJSTP31,P3 Kerosene-Type Jet Fuel Stocks (kb)
WKJSTP41,P4 Kerosene-Type Jet Fuel Stocks (kb)
WKJSTP51,P5 Kerosene-Type Jet Fuel Stocks (kb)
WKJIMUS2,US Kerosene-Type Jet Fuel Imports (kbd)
WKJIM_R10-Z00_2,P1 Kerosene-Type Jet Fuel Imports (kbd)
WKJIM_R20-Z00_2,P2 Kerosene-Type Jet Fuel Imports (kbd)
WKJIM_R30-Z00_2,P3 Kerosene-Type Jet Fuel Imports (kbd)
WKJIM_R40-Z00_2,P4 Kerosene-Type Jet Fuel Imports (kbd)
WKJIM_R50-Z00_2,P5 Kerosene-Type Jet Fuel Imports (kbd)
WKJRPUS2,US Kerosene-Type Jet Fuel Production (kbd)
WKJRPP12,P1 Kerosene-Type Jet Fuel Production (kbd)
WKJRPP22,P2 Kerosene-Type Jet Fuel Production (kbd)
WKJRPP32,P3 Kerosene-Type Jet Fuel Production (kbd)
WKJRPP42,P4 Kerosene-Type Jet Fuel Production (kbd)
WKJRPP52,P5 Kerosene-Type Jet Fuel Production (kbd)
WKJEXUS2,US Kerosene-Type Jet Fuel Exports (kbd)
WRERPUS2,US Residual Fuel Oil Production (kbd)
WRERPP12,P1 Residual Fuel Oil Production (kbd)
WRERPP22,P2 Residual Fuel Oil Production (kbd)
WRERPP32,P3 Residual Fuel Oil Production (kbd)
WRERPP42,P4 Residual Fuel Oil Production (kbd)
WRERPP52,P5 Residual Fuel Oil Production (kbd)
WREIMUS2,US Residual Fuel Oil Imports (kbd)
WREIM_R10-Z00_2,P1 Residual Fuel Oil Imports (kbd)
WREIM_R20-Z00_2,P2 Residual Fuel Oil Imports (kbd)
WREIM_R30-Z00_2,P3 Residual Fuel Oil Imports (kbd)
WREIM_R40-Z00_2,P4 Residual Fuel Oil Imports (kbd)
WREIM_R50-Z00_2,P5 Residual Fuel Oil Imports (kbd)
WREEXUS2,US Residual Fuel Oil Exports (kbd)
WPRSTUS1,US Propane and Propylene Stocks (kb)
WPRSTP11,P1 Propane and Propylene Stocks (kb)
WPRSTP21,P2 Propane and Propylene Stocks (kb)
WPRSTP31,P3 Propane and Propylene Stocks (kb)
WPRST_R4N5_1,P4 and P5 Propane and Propylene Stocks (kb)
WPRIM_NUS-Z00_2,US Propane and Propylene Imports (kbd)
WPRIMP12,P1 Propane and Propylene Imports (kbd)
WPRIMP22,P2 Propane and Propylene Imports (kbd)
WPRIMP32,P3 Propane and Propylene Imports (kbd)
W_EPLLPZ_IM0_R45-Z00_MBBLD,P4 and P5 Propane and Propylene Imports (kbd)
WPRTP_NUS_2,US Propane and Propylene Production (kbd)
WPRNPP12,P1 Propane and Propylene Production (kbd)
WPRNPP22,P2 Propane and Propylene Production (kbd)
WPRNPP32,P3 Propane and Propylene Production (kbd)
W_EPLLPZ_YPT_R4N5_MBBLD,P4 and P5 Propane and Propylene Production (kbd)
W_EPLLPZ_EEX_NUS-Z00_MBBLD,US Propane and Propylene Exports (kbd)
WRPUPUS2,Petroleum Products Supplied (kbd)
WGFUPUS2,Finished Motor Gasoline Supplied (kbd)
WDIUPUS2,Distillate Fuel Oil Supplied (kbd)
WKJUPUS2,Kerosene-Type Jet Fuel Supplied (kbd)
WREUPUS2,Residual Fuel Oil Supplied (kbd)
WPRUP_NUS_2,Propane and Propylene Supplied (kbd)
WWOUP_NUS_2,Other Oils Supplied (kbd)
