id,name
WKJSTP51,P5 Jet Stocks (kb)
WKJIMUS2,US Jet Imports (kbd)
WKJIM_R10-Z00_2,P1 Jet Imports (kbd)
WKJIM_R20-Z00_2,P2 Jet Imports (kbd)
WKJIM_R30-Z00_2,P3 Jet Imports (kbd)
WKJIM_R40-Z00_2,P4 Jet Imports (kbd)
WKJIM_R50-Z00_2,P5 Jet Imports (kbd)
WKJRPUS2,US Jet Production (kbd)
WKJRPP12,P1 JetProduction (kbd)
WKJRPP22,P2 Jet Production (kbd)
WKJRPP32,P3 Jet Production (kbd)
WKJRPP42,P4 Jet Production (kbd)
WKJRPP52,P5 Jet Production (kbd)
WKJEXUS2,US Jet Exports (kbd)
WRESTUS1,US Fuel Oil Stocks (kb)
WRESTP11,P1 Fuel Oil Stocks (kb)
WRESTP21,P2 Fuel Oil Stocks (kb)
WRESTP31,P3 Fuel Oil Stocks (kb)
WRESTP41,P4 Fuel Oil Stocks (kb)
WRESTP51,P5 Fuel Oil Stocks (kb)
WREIMUS2,US Fuel Oil Imports (kbd)
WREIM_R10-Z00_2,P1 Fuel Oil Imports (kbd)
WREIM_R20-Z00_2,P2 Fuel Oil Imports (kbd)
WREIM_R30-Z00_2,P3 Fuel Oil Imports (kbd)
WREIM_R40-Z00_2,P4 Fuel Oil Imports (kbd)
WREIM_R50-Z00_2,P5 Fuel Oil Imports (kbd)
WRERPUS2,US Fuel Oil Production (kbd)
WRERPP12,P1 Fuel Oil Production (kbd)
WRERPP22,P2 Fuel Oil Production (kbd)
WRERPP32,P3 Fuel Oil Production (kbd)
WRERPP42,P4 Fuel Oil Production (kbd)
WRERPP52,P5 Fuel Oil Production (kbd)
WREEXUS2,US Fuel Oil Exports (kbd)
WPRSTUS1,US C3/C3= Stocks (kb)
WPRSTP11,P1 C3/C3= Stocks (kb)
WPRSTP21,P2 C3/C3= Stocks (kb)
WPRSTP31,P3 C3/C3= Stocks (kb)
WPRST_R4N5_1,P4P5 C3/C3= Stocks (kb)
WPRIM_NUS-Z00_2,US C3/C3= Imports (kbd)
WPRIMP12,P1 C3/C3= Imports (kbd)
WPRIMP22,P2 C3/C3= Imports (kbd)
WPRIMP32,P3 C3/C3= Imports (kbd)
W_EPLLPZ_IM0_R45-Z00_MBBLD,P4P5 C3/C3= Imports (kbd)
WPRTP_NUS_2,US C3/C3= Production (kbd)
WPRNPP12,P1 C3/C3= Production (kbd)
WPRNPP22,P2 C3/C3= Production (kbd)
WPRNPP32,P3 C3/C3= Production (kbd)
W_EPLLPZ_YPT_R4N5_MBBLD,P4P5 C3/C3= Production (kbd)
W_EPLLPZ_EEX_NUS-Z00_MBBLD,US C3/C3= Exports (kbd)
WRPUPUS2,Products Supplied (kbd)
WGFUPUS2,Gasoline Supplied (kbd)
WDIUPUS2,Distillate Supplied (kbd)
WKJUPUS2,Jet Supplied (kbd)
WREUPUS2,Fuel Oil Supplied (kbd)
