id,lookup
WREIM_R20-Z00_2,imports p2residual fuel oil
WREIM_R30-Z00_2,imports p3residual fuel oil
WREIM_R40-Z00_2,imports p4residual fuel oil
WREIM_R50-Z00_2,imports p5residual fuel oil
WPRIM_NUS-Z00_2,imports uspropane/propylene
WPRIMP12,imports p1propane/propylene
WPRIMP22,imports p2propane/propylene
WPRIMP32,imports p3propane/propylene
W_EPLLPZ_IM0_R45-Z00_MBBLD,imports p45propane/propylene
WCREXUS2,exports uscrude oil
W_EPM0F_EEX_NUS-Z00_MBBLD,exports ustotal motor gasoline
WKJEXUS2,exports uskerosene-type jet fuel
WDIEXUS2,exports usdistillate fuel oil
WREEXUS2,exports usresidual fuel oil
W_EPLLPZ_EEX_NUS-Z00_MBBLD,exports uspropane/propylene
WRPUPUS2,product supplied ustotal product supplied
WGFUPUS2,product supplied usfinished motor gasoline
WKJUPUS2,product supplied uskerosene-type jet fuel
WDIUPUS2,product supplied usdistillate fuel oil
WREUPUS2,product supplied usresidual fuel oil
WPRUP_NUS_2,product supplied uspropane/propylene
WWOUP_NUS_2,product supplied usother oils
WOCLEUS2,refiner inputs and utilization usoperable capacity
W_NA_YRL_R10_MBBLD,refiner inputs and utilization p1operable capacity
W_NA_YRL_R20_MBBLD,refiner inputs and utilization p2operable capacity
W_NA_YRL_R30_MBBLD,refiner inputs and utilization p3operable capacity
W_NA_YRL_R40_MBBLD,refiner inputs and utilization p4operable capacity
W_NA_YRL_R50_MBBLD,refiner inputs and utilization p5operable capacity
